"California Commission for Jobs and Eco Growth","http://4cajobs.com"
"Fortuna Business Improvement District","http://fortunabusiness.com"
"Oroville Economic Development","http://www.cityoforoville.org"
"Redding Economic Development","http://www.ci.redding.ca.us"
"Sierra Economic Development Corp","http://www.sedcorp.biz"
"Arcata Economic Development Corp","http://www.aedc1.org"
"Chico Economic Development","http://www.chicoeconomicdevelopment.com"
"Nevada County Economic Development","http://www.ncerc.org"
"Sacramento Economic Dev","http://www.cityofsacramento.org"
"Valley Vision Inc","http://www.valleyvision.org"
"Placer Co. Economic Dev","http://www.placer.ca.gov"
"Sacramento Area Com amp Trade Org.","http://www.sactoedc.org"
"Rancho Cordova Economic Development","http://www.cityofranchocordova.org"
"Yolo County Economic Development","http://www.yolocounty.org"
"San Carlos Economic Development","http://www.cityofsancarlos.org"
"San Francisco Center for Economic Development","http://www.sfced.org"
"Hayward Economic Dev","http://www.ci.hayward.ca.us"
"Sonoma County Economic Development","http://www.sonoma-county.org"
"Bay Area Marketing Partnership","http://www.bayareafirst.org"
"Concord Economic Development","http://www.cityofconcord.org"
"Berkeley Economic Development","http://www.ci.berkeley.ca.us"
"San Ramon Economic Development","http://www.ci.san-ramon.ca.us"
"Redwood City Economic Development","http://www.redwoodcity.org"
"Richmond Economic Development","http://www.ci.richmond.ca.us"
"Oakland Economic Development","http://www.business2oakland.com"
"Morgan Hill Economic Development","http://www.morgan-hill.ca.gov"
"Solano Economic Development Co","http://www.solanoedc.org"
"San Jose Economic Development","http://www.sjeconomy.com"
"Santa Clara Economic Development","http://www.movetosantaclara.com"
"San Joaquin Partnership","http://www.sjpnet.org"
"Merced County Economic Development Corp","http://www.mcedo.com"
"Tulare County Economic Development","http://www.sequoiavalley.com"
"Shafter Economic Development","http://www.shafter.com"
"Visalia Economic Development Corp","http://www.visaliaedc.com"
"Kern Economic Development Corp","http://www.kedc.com"
"Fresno Economic Development Dept","http://www.fresno.gov"
"Stanislaus River Valley Eco Dev","http://www.stanalliance.com"
"Sequoia Valley Economic Development","http://www.sequoiavalley.com"
"Lemoore Economic Dev","http://www.lemoore.com"
"Kern County Community Development","http://www.co.kern.ca.us"
"Modesto Ch of Commerce","http://www.modchamber.org"
"Riverbank Economic Development","http://www.riverbank.org"
"Economic Development Corp serving Fresno County","http://www.fresnoedc.com"
"City of Industry","http://www.cityofindustry.org"
"Thousand Oaks Economic Development","http://www.ci.thousand-oaks.ca.us"
"Santa Monica Economic Dev","http://www.santa-monica.org"
"Economic Development Corp of Oxnard","http://www.edco.us"
"Los Angeles Eco Dev","http://www.laedc.org"
"Glendale Economic Dev","http://www.ci.glendale.ca.us"
"San Gabriel Valley Eco Partnership","http://www.valleyconnect.com"
"Economic Alliance of San Fernando Valley","http://thevalley.net"
"Ventura Economic Development","http://www.cityofventura.net"
"Lompoc Economic Development","http://www.ci.lompoc.ca.us"
"Compton Economic development","http://www.comptoncity.org"
"Long Beach Economic Development","http://www.longbeach.gov"
"Pico Rivera Economic Development","http://www.ci.pico-rivera.ca.us"
"Temecula Economic Development","http://www.cityoftemecula.org"
"Inland Empire Economic Partnership","http://www.ieep.com"
"Riverside City Economic Development","http://www.riversideca.gov"
"San Bernardino County nbsp Economic Dev","http://www.sbcounty.gov"
"Corona Economic development","http://www.ci.corona.ca.us"
"Colton Economic Development","http://www.ci.colton.ca.us"
"Rialto Economic Development","http://www.ci.rialto.ca.us"
"Lake Elsinore Redevelopment","http://www.lake-elsinore.org"
"Riverside County Economic Dev Agency","http://www.rivcoeda.org"
"Moreno Valley Economic Development","http://www.ci.moreno-valley.ca.us"
"Perris Economic Development","http://www.cityofperris.org"
"Southwest California Economic Development Corp","http://www.edc-swrc.org"
"Brea Economic Development","http://www.ci.brea.ca.us"
"Anaheim Economic Development","http://www.anaheim.net"
"Huntington Beach Economic Dev","http://www.surfcity-hb.org"
"Buena Park Economic Dev","http://www.buenapark.com"
"Stanton Community Development","http://www.ci.stanton.ca.us"
"Garden Grove Economic Development","http://www.ci.garden-grove.ca.us"
"Newport Beach Economic Dev","http://www.city.newport-beach.ca.us"
"Chula Vista Economic Dev","http://www.ci.chula-vista.ca.us"
"Escondido Economic Dev","http://www.ci.escondido.ca.us"
"Imperial Valley Economic Development Corp","http://www.elcentrochamber.org"
"Downtown San Diego Partnership","http://www.dtsd.org"
"East County Eco Dev Council","http://www.eastcountyedc.org"
"Beaverton Economic Development","http://www.businessbeaverton.com"
"Eco Dev Council of Tillamook Co","http://www.edctc.com"
"Port of Coos Bay","http://www.portofcoosbay.com"
"SEDCOR","http://www.sedcor.com"
"Port of the Dalles","http://www.portofthedalles.com"
"Coquille Economic Dev Corp","http://www.cedco.net"
"Northeast Oregon Eco Dev District","http://www.neoedd.org"
"Southern Oregon Regional Eco Dev","http://www.soredi.org"
"Washington State Dept of Commerce","http://www.choosewashington.com"
"Washington Eco Dev Association","http://www.wedaonline.org"
"Clallam County Economic Dev","http://www.clallam.org"
"Port of Ridgefield","http://www.portridgefield.org"
"Jefferson County Economic Dev","http://www.edcjc.com"
"Grays Harbor Economic Dev","http://www.ghedc.com"
"Cowlitz Economic Dev","http://www.cowlitzedc.com"
"Lincoln County EDC","http://lincolnedc.org"
"Grant County EDC","http://www.grantedc.com"
"Palouse Economic Development","http://www.palouse.org"
"Kittitas County Economic Dev","http://www.phoenixgroupedc.org"
"Klickitat County Eco Development","http://www.klickitatcounty.org"
"Port of Douglas County","http://www.portofdouglas.org"
"Spokane Regional Site Selector","http://www.selectspokane.com"
"Pasco Economic Development","http://www.pasco-wa.gov"
"Yakima City Economic Development","http://www.ci.yakima.wa.us"
"Pierce County Economic Dev Division","http://www.co.pierce.wa.us"
"Prosser Economic Development Association","http://www.prosser.org"
"Thurston Economic Development Council","http://www.thurstonedc.com"
"Port of Bellingham","http://www.portofbellingham.com"
"Economic Dev Council Kitsap Co","http://www.kitsapeda.org"
"enterpriseSeattle","http://www.enterpriseseattle.org"
"Eco Dev of Tacoma Pierce County","http://www.gopierce.org"
"Northwest Economic Development Council","http://www.nwecon.org"
"Gig Harbor Peninsular Area Ch of Com","http://www.gigharborchamber.com"
"Bothell Economic Development","http://www.ci.bothell.wa.us"
"Puyallup Economic Development","http://www.cityofpuyallup.org"
"Seattle Office of Economic Development","http://www.seattle.gov"
"Snohomish County Economic Dev","http://www.snoedc.org"
"Clallam Economic Development Council","http://www.clallam.org"
"Skagit County Eco Dev Association","http://www.skagit.org"
"Pierce County Economic Dev Division","http://www.co.pierce.wa.us"
"Lakewood Economic Development","http://www.cityoflakewood.us"
"City of Issaquah","http://issaquahwa.gov"